serial_no,candidate_or_party,election_name,declaration_id,transaction_date,category,donor_or_recipient,id_number,income_amount,expenditure_amount,donation_method,deposit_date,returned_or_paid_to_treasury,purpose,money_type,address,phone_number,disclosed_recipient,recipient_staff_name,recipient_staff_title,party_staff_name,party_staff_title,relationship,correction_note,correction_date
3630,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,吉香便當,25330936,0.00,360.00,,,,餐飲費用,金錢,,,否,,,,,,,
3631,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,吉香便當,25330936,0.00,280.00,,,,餐飲費用,金錢,,,否,,,,,,,
3632,賴清德,113年總統、副總統選舉,首次申報,1121012,宣傳支出,厚丞企業社,25348083,0.00,79000.00,,,,製作宣傳廣告DM,金錢,南投縣埔里鎮****,049-*****,否,,,,,,,
3633,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,呷飯皇帝大,25873699,0.00,960.00,,,,餐飲費用,金錢,,,否,,,,,,,
3634,賴清德,113年總統、副總統選舉,首次申報,1121012,集會支出,橘創整合行銷有限公司,29049832,0.00,24990.00,,,,租借設備音響器材,金錢,新北市新店區****,02-2*****,否,,,,,,,
3635,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,中華郵政股份有限公司板橋莒光郵局,34291132,0.00,28.00,,,,郵資,金錢,,,否,,,,,,,
3636,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,中華郵政股份有限公司板橋江翠郵局,34402144,0.00,30.00,,,,匯費,金錢,,,否,,,,,,,
3637,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,中華郵政股份有限公司板橋江翠郵局,34402144,0.00,30.00,,,,匯費,金錢,,,否,,,,,,,
3638,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,文星嵐茶心茶品,38720113,0.00,453.00,,,,餐飲費用,金錢,,,否,,,,,,,
3639,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,中華電信股份有限公司臺南營運處成功服務中心,40818149,0.00,500.00,,,,接線費,金錢,,,否,,,,,,,
3640,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,中華電信股份有限公司臺南營運處成功服務中心,40818149,0.00,500.00,,,,接線費,金錢,,,否,,,,,,,
3641,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,中華電信股份有限公司臺南營運處成功服務中心,40818149,0.00,500.00,,,,接線費,金錢,,,否,,,,,,,
3642,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,中華電信股份有限公司臺南營運處成功服務中心,40818149,0.00,500.00,,,,接線費,金錢,,,否,,,,,,,
3643,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,中華電信股份有限公司臺南營運處成功服務中心,40818149,0.00,500.00,,,,接線費,金錢,,,否,,,,,,,
3644,賴清德,113年總統、副總統選舉,首次申報,1121012,租用競選辦事處支出,特毅克設計有限公司,52860199,0.00,1000000.00,,,,裝潢競選辦事處費用(辦公室空間企劃暨執行案第二期),金錢,台北市中山區****,02-2*****,否,,,,,,,
3645,賴清德,113年總統、副總統選舉,首次申報,1121012,宣傳支出,韶光電影有限公司,53348424,0.00,300000.00,,,,製作宣傳廣告費用,金錢,臺北市中山區****,02-2*****,否,,,,,,,
3646,賴清德,113年總統、副總統選舉,首次申報,1121012,交通旅運支出,台灣中油股份有限公司油品行銷事業部台中營業處草屯加油站,61453709,0.00,1243.00,,,,油資,金錢,,,否,,,,,,,
3647,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,中華郵政股份有限公司台南東門郵局,69699500,0.00,30.00,,,,匯費,金錢,,,否,,,,,,,
3648,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,中華郵政股份有限公司台南東門郵局,69699500,0.00,30.00,,,,匯費,金錢,,,否,,,,,,,
3649,賴清德,113年總統、副總統選舉,首次申報,1121012,宣傳支出,中華郵政股份有限公司台南東寧路郵局,69699522,0.00,6636.00,,,,配送費,金錢,臺南市東區東****,,否,,,,,,,
3650,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,中華郵政股份有限公司台南東寧路郵局,69699522,0.00,800.00,,,,郵資,金錢,臺南市東區東****,,否,,,,,,,
3651,賴清德,113年總統、副總統選舉,首次申報,1121012,交通旅運支出,台亞石油股份有限公司台亞彰化中央路加油站,72436931,0.00,1547.00,,,,油資,金錢,,,否,,,,,,,
3652,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,台亞石油股份有限公司台亞彰化中央路加油站,72436931,0.00,140.00,,,,其他費用,金錢,,,否,,,,,,,
3653,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,喜洋洋食品行,73964918,0.00,2646.00,,,,餐飲費用,金錢,彰化縣彰化市****,,否,,,,,,,
3654,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,長運國際有限公司,80243227,0.00,36435.00,,,,其他費用,金錢,臺北市中正區****,02-2*****,否,,,,,,,
3655,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,品心餐飲商行,81174233,0.00,3120.00,,,,餐飲費用,金錢,,,否,,,,,,,
3656,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,芙奇茶苑,85513446,0.00,660.00,,,,餐飲費用,金錢,,,否,,,,,,,
3657,賴清德,113年總統、副總統選舉,首次申報,1121012,宣傳支出,世界窗廣告,87951884,0.00,9500.00,,,,刊登宣傳廣告費用,金錢,,,否,,,,,,,
3658,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,錸德食品商行,88578626,0.00,7000.00,,,,餐飲費用,金錢,,,否,,,,,,,
3659,賴清德,113年總統、副總統選舉,首次申報,1121012,交通旅運支出,全聯國際股份有限公司,91024023,0.00,600.00,,,,油資,金錢,,,否,,,,,,,
3660,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,志展配鎖刻印社,93869011,0.00,800.00,,,,印章,金錢,,,否,,,,,,,
3661,賴清德,113年總統、副總統選舉,首次申報,1121012,宣傳支出,裡外生活股份有限公司,94004155,0.00,1350000.00,,,,製作競選物品或宣傳廣告費用,金錢,台北市中正區****,0952*****,否,,,,,,,
3662,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,水巷茶弄餐飲事業有限公司台南東安營業所,94282235,0.00,660.00,,,,餐飲費用,金錢,,,否,,,,,,,
3663,賴清德,113年總統、副總統選舉,首次申報,1121012,交通旅運支出,台灣中油股份有限公司油品行銷事業部台北營業處埔墘加油,95867072,0.00,157.00,,,,油資,金錢,,,否,,,,,,,
3664,賴清德,113年總統、副總統選舉,首次申報,1121012,雜支支出,大福將自助餐便當,95988343,0.00,6000.00,,,,餐飲費用,金錢,,,否,,,,,,,
3665,賴清德,113年總統、副總統選舉,首次申報,1121012,交通旅運支出,大全加油站股份有限公司,97358074,0.00,1500.00,,,,油資,金錢,,,否,,,,,,,
3666,賴清德,113年總統、副總統選舉,首次申報,1121012,人事費用支出,賴庭荷,B22*******,0.00,15000.00,,,,工資,金錢,台中市北區太****,,否,,,,,,,
3667,賴清德,113年總統、副總統選舉,首次申報,1121012,租用競選辦事處支出,陳慶飛,D10*******,0.00,400000.00,,,,租用競選辦事處費用,金錢,台南市東區仁****,06-2*****,否,,,,,,,
3668,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,計程車,,0.00,485.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3669,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,計程車,,0.00,490.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3670,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,計程車,,0.00,485.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3671,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,計程車,,0.00,90.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3672,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,計程車,,0.00,100.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3673,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,計程車,,0.00,95.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3674,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,計程車,,0.00,85.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3675,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,計程車,,0.00,135.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3676,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,計程車,,0.00,150.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3677,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,計程車,,0.00,155.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3678,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,計程車,,0.00,155.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3679,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,計程車,,0.00,160.00,,,,搭乘交通工具費用,金錢,,04-2*****,否,,,,,,,
3680,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,計程車,,0.00,180.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3681,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,計程車,,0.00,162.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3682,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,計程車,,0.00,160.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3683,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,計程車,,0.00,165.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3684,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,中華郵政股份有限公司,03741302,0.00,360.00,,,,匯費,金錢,臺北市大安區****,,否,,,,,,,
3685,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,華王食品店,05629450,0.00,6000.00,,,,餐飲費用,金錢,,,否,,,,,,,
3686,賴清德,113年總統、副總統選舉,首次申報,1121013,宣傳支出,大方廣告,05988912,0.00,13340.00,,,,廣告看板,金錢,彰化縣員林市****,,否,,,,,,,
3687,賴清德,113年總統、副總統選舉,首次申報,1121013,宣傳支出,創意者美術社,06413491,0.00,3600.00,,,,製作宣傳廣告費用,金錢,,,否,,,,,,,
3688,賴清德,113年總統、副總統選舉,首次申報,1121013,宣傳支出,創意者美術社,06413491,0.00,3600.00,,,,製作宣傳廣告費用,金錢,,,否,,,,,,,
3689,賴清德,113年總統、副總統選舉,首次申報,1121013,租用競選辦事處支出,行動通信企業社,14857645,0.00,45800.00,,,,租買辦公設備費用,金錢,彰化縣員林市****,04-8*****,否,,,,,,,
3690,賴清德,113年總統、副總統選舉,首次申報,1121013,租用競選辦事處支出,行動通信企業社,14857645,0.00,40800.00,,,,租買辦公設備費用,金錢,彰化縣員林市****,04-8*****,否,,,,,,,
3691,賴清德,113年總統、副總統選舉,首次申報,1121013,宣傳支出,華楓印刷設計,15600755,0.00,24720.00,,,,宣傳廣告費用,金錢,雲林縣斗六市****,05-5*****,否,,,,,,,
3692,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,佳展鎖印行,15698722,0.00,720.00,,,,印章,金錢,,,否,,,,,,,
3693,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,臺灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3694,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,臺灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3695,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,臺灣高鐵,16446274,0.00,750.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3696,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,臺灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3697,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,臺灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3698,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,臺灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3699,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,臺灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3700,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,臺灣高鐵,16446274,0.00,790.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3701,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,臺灣高鐵,16446274,0.00,790.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3702,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,臺灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3703,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,臺灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3704,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,臺灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3705,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,臺灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3706,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,臺灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3707,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,臺灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3708,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,台灣高速鐵路股份有限公司,16446274,0.00,700.00,,,,搭乘交通工具費用,金錢,臺北市南港區****,,否,,,,,,,
3709,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,臺灣高鐵,16446274,0.00,350.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3710,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,臺灣高鐵,16446274,0.00,350.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3711,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,臺灣高鐵,16446274,0.00,375.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3712,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,臺灣高鐵,16446274,0.00,20.00,,,,手續費,金錢,臺北市南港區****,,否,,,,,,,
3713,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,臺灣高鐵,16446274,0.00,1490.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3714,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,臺灣高鐵,16446274,0.00,1490.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3715,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,林家素食,17578126,0.00,80.00,,,,餐飲費用,金錢,,,否,,,,,,,
3716,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,金斧頭服裝行,21340238,0.00,12650.00,,,,其他費用,金錢,高雄市三民區****,,否,,,,,,,
3717,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,排骨大王,21480526,0.00,810.00,,,,餐飲費用,金錢,,,否,,,,,,,
3718,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,吉香便當,25330936,0.00,360.00,,,,餐飲費用,金錢,,,否,,,,,,,
3719,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,呷飯皇帝大,25873699,0.00,1040.00,,,,餐飲費用,金錢,,,否,,,,,,,
3720,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,豪華商行,26422808,0.00,276.00,,,,餐飲費用,金錢,,,否,,,,,,,
3721,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,中友百貨股份有限公司台中分公司,28411026,0.00,280.00,,,,餐飲費用,金錢,,,否,,,,,,,
3722,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,中友百貨股份有限公司台中分公司,28411026,0.00,444.00,,,,餐飲費用,金錢,,,否,,,,,,,
3723,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,上佳油品股份有限公司,29092062,0.00,1000.00,,,,油資,金錢,,,否,,,,,,,
3724,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,寶利流通事業有限公司屏東分店,29383456,0.00,1970.00,,,,文具用品,金錢,,,否,,,,,,,
3725,賴清德,113年總統、副總統選舉,首次申報,1121013,宣傳支出,吉祥影像股份有限公司,42622769,0.00,1150000.00,,,,製作宣傳廣告費用,金錢,臺北市中正區****,02-2*****,否,,,,,,,
3726,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,星漾開發企業股份有限公司,54221297,0.00,33600.00,,,,住宿費用,金錢,臺中市北區新****,04-2*****,否,,,,,,,
3727,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,弘明行國際文化有限公司,54565222,0.00,525.00,,,,文具用品,金錢,,,否,,,,,,,
3728,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,大立鴻福有限公司,57639009,0.00,1571.00,,,,油資,金錢,,,否,,,,,,,
3729,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,台灣電力股份有限公司彰化區營業處,58650608,0.00,22834.00,,,,電費,金錢,彰化縣彰化市****,,否,,,,,,,
3730,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,台灣中油股份有限公司油品行銷事業部台中營業處埔里加油站,62023708,0.00,500.00,,,,油資,金錢,,,否,,,,,,,
3731,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,全賓中式快餐便當,69899140,0.00,3200.00,,,,餐飲費用,金錢,,,否,,,,,,,
3732,賴清德,113年總統、副總統選舉,首次申報,1121013,租用競選辦事處支出,達迅網通股份有限公司,70367228,0.00,4224.00,,,,租買辦公室設備,金錢,,,否,,,,,,,
3733,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,景泰小吃店,72995322,0.00,757.00,,,,餐飲費用,金錢,,,否,,,,,,,
3734,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,青宏鎖印行,82097761,0.00,250.00,,,,印章,金錢,,,否,,,,,,,
3735,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,沐津股份有限公司,83178930,0.00,685.00,,,,餐飲費用,金錢,,,否,,,,,,,
3736,賴清德,113年總統、副總統選舉,首次申報,1121013,宣傳支出,鹹水文化製作有限公司,83479318,0.00,43313.00,,,,製作競選物品,金錢,台北市衡陽路****,02-2*****,否,,,,,,,
3737,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,應援科技股份有限公司,83763685,0.00,43337.00,,,,手續費,金錢,臺北市內湖區****,02-2*****,否,,,,,,,
3738,賴清德,113年總統、副總統選舉,首次申報,1121013,租用競選辦事處支出,優正股份有限公司,84834998,0.00,19500.00,,,,租用辦公設備費用,金錢,,,否,,,,,,,
3739,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,台北李家肉焿,88303319,0.00,280.00,,,,餐飲費用,金錢,,,否,,,,,,,
3740,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,榮帝科技股份有限公司財政大樓停車場,88344803,0.00,185.00,,,,停車費,金錢,,,否,,,,,,,
3741,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,和雲行動服務股份有限公司台北總站,88393228,0.00,3377.00,,,,租車費用,金錢,臺北市中正區****,,否,,,,,,,
3742,賴清德,113年總統、副總統選舉,首次申報,1121013,交通旅運支出,力揚停車場設備股份有限公司羅東聖母醫院營業所,92655856,0.00,30.00,,,,停車費,金錢,,,否,,,,,,,
3743,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,志展配鎖刻印社,93869011,0.00,120.00,,,,印章,金錢,,,否,,,,,,,
3744,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,華南快速印刷,95962266,0.00,5850.00,,,,印刷費,金錢,彰化縣彰化市****,,否,,,,,,,
3745,賴清德,113年總統、副總統選舉,首次申報,1121013,雜支支出,萬昌鎖店,99285648,0.00,160.00,,,,其他費用,金錢,,,否,,,,,,,
3746,賴清德,113年總統、副總統選舉,首次申報,1121013,人事費用支出,黃文佳,M12*******,0.00,60000.00,,,,薪資,金錢,嘉義縣朴子市****,0988*****,否,,,,,,,
3747,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,計程車,,0.00,500.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3748,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,計程車,,0.00,495.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3749,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,計程車,,0.00,470.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3750,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,計程車,,0.00,495.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3751,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,計程車,,0.00,500.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3752,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,計程車,,0.00,478.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3753,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,計程車,,0.00,490.00,,,,搭乘交通工具費用,金錢,,04-2*****,否,,,,,,,
3754,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,計程車,,0.00,540.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3755,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,計程車,,0.00,620.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3756,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,計程車,,0.00,115.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3757,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,計程車,,0.00,115.00,,,,搭乘交通工具費用,金錢,,02-2*****,否,,,,,,,
3758,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,計程車,,0.00,95.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3759,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,計程車-UBER,,0.00,78.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3760,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,計程車,,0.00,100.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3761,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,計程車,,0.00,160.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3762,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,計程車,,0.00,165.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3763,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,計程車,,0.00,185.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3764,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,計程車,,0.00,215.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3765,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,計程車,,0.00,3100.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3766,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,計程車,,0.00,335.00,,,,車資,金錢,,02-2*****,否,,,,,,,
3767,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,永權實業有限公司永和仁愛公園地下停車場,02791599,0.00,30.00,,,,停車費,金錢,,,否,,,,,,,
3768,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,台灣鐵路管理局,07524729,0.00,25.00,,,,車資,金錢,臺北市中正區****,,否,,,,,,,
3769,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,臺灣高鐵,16446274,0.00,630.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3770,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,臺灣高鐵,16446274,0.00,630.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3771,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,臺灣高鐵,16446274,0.00,540.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3772,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,臺灣高鐵,16446274,0.00,1490.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3773,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,台灣高速鐵路股份有限公司,16446274,0.00,1350.00,,,,搭乘交通工具費用,金錢,臺北市南港區****,,否,,,,,,,
3774,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,臺灣高鐵,16446274,0.00,350.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3775,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,臺灣高鐵,16446274,0.00,350.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3776,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,臺灣高鐵,16446274,0.00,375.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3777,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,台灣高速鐵路股份有限公司,16446274,0.00,700.00,,,,搭乘交通工具費用,金錢,臺北市南港區****,,否,,,,,,,
3778,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,臺灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3779,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,臺灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3780,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,臺灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3781,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,臺灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3782,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,臺灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3783,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,臺灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3784,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,臺灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3785,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,臺灣高鐵,16446274,0.00,675.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3786,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,臺灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3787,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,臺灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
3788,賴清德,113年總統、副總統選舉,首次申報,1121014,交通旅運支出,臺灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
